,property_type,property_subtype,locality,zip_code,price,number_rooms,living_area,kitchen,furnished,fireplace,terrace,terrace_area,garden,garden_area,surface_land,number_facades,swimming_pool,building_state,province,ppm
0,HOUSE,MIXED_USE_BUILDING,Koekelberg,1081,575000,3,220,installed,False,False,True,0,False,0,71,2,False,good,Brussel,2613.6363636364
1,HOUSE,EXCEPTIONAL_PROPERTY,Beveren,9120,695000,4,269,hyper_equipped,False,False,True,41,True,300,583,3,False,as_new,Oost-Vlaanderen,2583.6431226766
2,HOUSE,HOUSE,Seraing,4100,144000,2,105,semi_equipped,False,False,True,0,True,25,105,2,False,good,Liège,1371.4285714286
3,HOUSE,HOUSE,Seraing,4100,199000,4,125,installed,False,False,True,108,True,28,229,2,False,good,Liège,1592
4,HOUSE,VILLA,Herzele,9550,539000,4,370,hyper_equipped,False,False,True,60,False,0,911,4,False,as_new,Oost-Vlaanderen,1456.7567567568
5,HOUSE,HOUSE,Forest,1190,650000,4,215,installed,False,False,True,10,True,90,170,2,False,to_be_done_up,Brussel,3023.2558139535
6,HOUSE,MIXED_USE_BUILDING,Aalst,9300,850000,8,1264,installed,False,False,True,0,False,0,430,2,False,to_renovate,Oost-Vlaanderen,672.4683544304
7,HOUSE,HOUSE,Herstal,4040,160000,2,130,not_installed,False,False,True,14,False,0,116,3,False,to_renovate,Liège,1230.7692307692
8,HOUSE,HOUSE,Bruxelles,1000,250000,4,90,installed,False,False,False,0,False,0,17,2,False,to_restore,Brussel,2777.7777777778
9,HOUSE,HOUSE,TOLLEMBEEK,1570,399000,3,216,not_installed,False,True,False,0,True,1113,1329,4,False,to_renovate,Vlaams-Brabant,1847.2222222222
10,HOUSE,HOUSE,Liege,4020,149000,4,137,installed,True,False,True,25,False,0,110,2,False,good,Liège,1087.5912408759
11,HOUSE,HOUSE,Saint-Nicolas,4420,235000,3,100,semi_equipped,False,False,True,32,True,200,355,2,False,good,Liège,2350
12,HOUSE,APARTMENT_BLOCK,Nassogne,6950,325000,4,235,usa_semi_equipped,False,False,False,0,False,0,122,2,False,good,Luxembourg,1382.9787234043
13,HOUSE,HOUSE,Vilvoorde,1800,425000,3,138,installed,False,False,False,0,True,40,175,2,False,just_renovated,Vlaams-Brabant,3079.7101449275
14,HOUSE,HOUSE,Seraing,4100,159000,3,87,installed,False,False,True,64,True,106,145,2,False,just_renovated,Liège,1827.5862068966
15,HOUSE,HOUSE,Vise,4600,229000,3,145,installed,False,False,True,136,False,0,184,3,False,good,Liège,1579.3103448276
16,HOUSE,BUNGALOW,ROTHEUX-RIMIÈRE,4120,319000,2,104,installed,False,True,True,40,True,200,543,3,False,just_renovated,Liège,3067.3076923077
17,HOUSE,VILLA,La Roche-en-Ardenne,6980,398000,3,170,hyper_equipped,False,False,True,0,True,1193,1193,4,False,good,Luxembourg,2341.1764705882
18,HOUSE,VILLA,Vilvoorde,1800,430000,3,132,semi_equipped,False,False,True,40,True,400,623,3,False,good,Vlaams-Brabant,3257.5757575758
19,HOUSE,HOUSE,Oudenaarde,9700,439000,2,161,hyper_equipped,False,False,True,25,True,420,680,4,False,as_new,Oost-Vlaanderen,2726.7080745342
20,HOUSE,HOUSE,Dilbeek,1700,529000,4,315,installed,False,False,True,0,False,0,8002,3,False,to_renovate,Vlaams-Brabant,1679.3650793651
21,HOUSE,HOUSE,Gent,9000,785000,4,266,semi_equipped,False,False,True,33,True,93,262,2,False,to_renovate,Oost-Vlaanderen,2951.1278195489
23,HOUSE,MANSION,Laeken,1020,900000,9,285,usa_hyper_equipped,True,False,True,18,True,105,723,3,False,as_new,Brussel,3157.8947368421
24,HOUSE,HOUSE,Ronse,9600,135000,5,162,installed,False,False,False,0,False,0,60,2,False,good,Oost-Vlaanderen,833.3333333333
25,HOUSE,HOUSE,Liege,4031,179000,3,137,installed,False,False,True,16,True,43,145,2,False,good,Liège,1306.5693430657
26,HOUSE,HOUSE,Auderghem,1160,850000,3,161,hyper_equipped,False,False,True,14,True,150,294,3,False,good,Brussel,5279.5031055901
27,HOUSE,VILLA,Braine-l'Alleud Ophain-Bois-Seigneur-Isaac,1421,529000,3,165,installed,False,False,True,20,True,800,1200,4,False,to_be_done_up,Brabant wallon,3206.0606060606
28,HOUSE,TOWN_HOUSE,Watermael-Boitsfort,1170,749000,5,205,installed,False,False,True,14,True,152,220,2,False,to_be_done_up,Brussel,3653.6585365854
29,HOUSE,HOUSE,LONZEE,5030,245000,3,144,semi_equipped,False,True,True,12,True,200,400,3,False,good,Namur,1701.3888888889
30,APARTMENT,APARTMENT,Anderlecht,1070,249000,2,90,usa_hyper_equipped,False,False,True,5,False,0,0,2,False,as_new,Brussel,2766.6666666667
34,APARTMENT,APARTMENT,Anderlecht,1070,170000,2,64,hyper_equipped,False,False,True,2,False,0,0,2,False,good,Brussel,2656.25
35,APARTMENT,PENTHOUSE,BAASRODE,9200,249000,2,91,installed,False,True,False,0,False,0,0,3,False,good,Oost-Vlaanderen,2736.2637362637
36,APARTMENT,APARTMENT,Oupeye,4680,219000,3,124,installed,False,False,True,21,True,46,0,4,False,good,Liège,1766.1290322581
37,APARTMENT,APARTMENT,Ronse,9600,219000,1,120,usa_installed,False,False,False,0,True,2000,0,4,False,good,Oost-Vlaanderen,1825
38,APARTMENT,SERVICE_FLAT,Aalst,9300,245000,1,52,hyper_equipped,False,False,True,10,False,0,0,2,False,as_new,Oost-Vlaanderen,4711.5384615385
39,APARTMENT,APARTMENT,Bruxelles,1000,330000,2,90,installed,False,False,True,8,False,0,0,2,False,good,Brussel,3666.6666666667
40,APARTMENT,APARTMENT,Gooik,1755,359000,3,112,not_installed,False,True,True,28,False,0,0,2,False,good,Vlaams-Brabant,3205.3571428572
41,APARTMENT,PENTHOUSE,Sint-Agatha-Berchem,1082,425000,2,105,installed,False,True,True,93,False,0,0,0,False,as_new,Brussel,4047.6190476191
42,APARTMENT,APARTMENT,Deurne,2100,182500,2,85,semi_equipped,False,True,False,0,False,0,0,2,False,good,Antwerpen,2147.0588235294
46,APARTMENT,APARTMENT,Brussels City,1000,237500,1,54,usa_hyper_equipped,True,True,True,3,False,0,0,2,False,good,Brussel,4398.1481481482
47,APARTMENT,APARTMENT,Deurne,2100,245000,2,106,installed,False,True,True,6,False,0,0,3,False,just_renovated,Antwerpen,2311.320754717
